Country,risk_score,risk_level
UK,3096.8334692360004,High
Canada,446.2871215622002,Low
Australia,125.14133009290003,Low
UK,1640.1497522761001,Medium
Australia,741.9234912359,Medium
Japan,-426.02882000179994,Low
Germany,444.1375892317003,Low
UK,-240.65929873529996,Low
Australia,1304.4415417838,Medium
Australia,2219.3821732711,High
India,1308.183340833,Medium
UK,1410.0139663574,Medium
USA,409.0435270592002,Low
Germany,971.431618149,Medium
Canada,-562.8026334916,Low
Japan,3465.3946426173998,High
India,1766.0981257966998,Medium
USA,257.6732043060001,Low
France,669.6310674551,Medium
USA,407.61132465920025,Low
Japan,2515.6113332396003,High
Canada,3484.6753069770007,High
Australia,3045.3698955803,High
Canada,1627.7001756885002,Medium
USA,1542.5020595120002,Medium
Germany,1778.4600040267,Medium
Australia,96.18940731729998,Low
USA,69.0464100500003,Low
Germany,2706.6884905964002,High
Japan,2480.4926917882,High
Brazil,1402.8911281879002,Medium
Brazil,1836.1025935257003,Medium
Brazil,1927.9654362650003,High
Japan,-64.79773124739998,Low
Germany,1634.0824372866,Medium
Canada,1922.8072097939,High
China,2909.7593920875997,High
Australia,325.6174389401,Low
France,397.6988543271001,Low
Brazil,732.0902534145002,Medium
Australia,2363.6830910908,High
Germany,-272.3516488122999,Low
UK,417.16801831320026,Low
USA,10.787295834500014,Low
Japan,1046.3835766509999,Medium
Canada,1724.0321106944002,Medium
India,2292.0904976471006,High
UK,882.5490507031002,Medium
UK,546.5331097438002,Low
Japan,3073.1766973234003,High
Germany,111.8773077518,Low
Germany,3436.6503622028004,High
India,266.397963753,Low
China,1486.4043024401003,Medium
Japan,931.8700280574002,Medium
India,604.1142923303,Medium
USA,2792.1205953724,High
Germany,1533.4174214710004,Medium
Australia,212.26298676800002,Low
France,1540.9673015389003,Medium
Canada,45.75319280710005,Low
India,766.7570150202,Medium
India,-86.00711340529983,Low
India,627.8876314449002,Medium
Canada,1677.3833673914999,Medium
USA,173.4212399572001,Low
UK,2170.8375444521002,High
Germany,3176.362148729,High
USA,935.6478339176002,Medium
Japan,2877.3660343559,High
Brazil,1234.2285312658003,Medium
USA,-211.78304969729993,Low
France,531.7982544639002,Low
USA,1355.8122086247,Medium
Australia,517.1389800765999,Low
China,1547.8644962396002,Medium
India,2343.7886361819005,High
Brazil,2993.8195981627005,High
USA,979.2710306910002,Medium
Brazil,1544.4972949557002,Medium
Australia,210.2973533750001,Low
Germany,-83.64280069580002,Low
Japan,-882.3223534745998,Low
India,2340.7860502832004,High
Germany,208.39012150080003,Low
Australia,2152.2583607719002,High
Canada,2226.9954375647003,High
UK,2339.6582703212002,High
Canada,1505.9769668873,Medium
Brazil,1972.7026236545998,High
Germany,1093.0074095919001,Medium
China,1223.1602686272004,Medium
USA,644.7621715979003,Medium
China,1928.7596634485003,High
Australia,776.9052448330006,Medium
Australia,1330.5944679004,Medium
UK,1230.2275036193,Medium
Germany,506.3661709309001,Low
France,425.22714805080017,Low
Brazil,3064.5474896011,High
France,2008.9707695929997,High
UK,678.8098180181,Medium
India,-131.87892867319988,Low
China,202.95914431039978,Low
Australia,612.4040930751996,Medium
Brazil,3415.7292572373003,High
Japan,2898.1878053026,High
India,1672.4136790265,Medium
USA,465.1849748797,Low
USA,1930.4292876775003,High
USA,1292.4930259498,Medium
France,-1391.8583837567999,Low
UK,-535.9423371210999,Low
Brazil,154.7244216171,Low
UK,2060.3653942306,High
Australia,-217.51812389169987,Low
USA,2839.6158922205004,High
Australia,1001.6399242759005,Medium
Germany,551.4967686123001,Low
Japan,1277.5132913162004,Medium
Brazil,1762.5200667112003,Medium
Germany,3008.8406425439002,High
UK,880.1225873581999,Medium
India,1665.8064274192002,Medium
Brazil,2842.2552238477,High
France,980.0503443876,Medium
Australia,-373.58229039209994,Low
Brazil,1325.329250672,Medium
Japan,-607.4735891381,Low
Japan,874.5169855755,Medium
India,73.21881119630007,Low
China,2851.4994525314005,High
China,-661.9302762437,Low
Canada,2622.0963851705,High
China,-90.65394296469981,Low
Canada,1780.9574129574005,Medium
Germany,-225.0599564201002,Low
Germany,1678.7111742265,Medium
USA,22.042108195300102,Low
Brazil,-1011.598016827,Low
Japan,2876.1347713466002,High
Japan,646.1842325498,Medium
India,3265.7511800654,High
USA,730.688908527,Medium
China,-157.75943354499992,Low
USA,1040.6502199400002,Medium
UK,287.11706990280004,Low
France,125.09579584649993,Low
France,2525.2852759637003,High
France,2319.9844899111004,High
Brazil,2240.1972101455003,High
USA,591.7511935069,Medium
Germany,310.1687995478,Low
Japan,3241.9492348600006,High
Japan,1488.8760019768001,Medium
Australia,2393.1390832154,High
Japan,661.0301843799002,Medium
India,830.3468643688,Medium
Canada,150.15670408130018,Low
Brazil,1249.4122798361,Medium
Brazil,-449.7911969092999,Low
China,605.3279409026001,Medium
India,-452.8289484375,Low
India,2409.5321887699997,High
China,-1030.5123667284997,Low
China,1891.0454428394,Medium
Japan,2760.7190134397,High
India,-7.622228470599794,Low
Brazil,-83.4119723990998,Low
India,1865.3101656130002,Medium
France,543.761870233,Low
UK,1175.1347465573,Medium
Brazil,2256.3545611187,High
Brazil,1691.9114051109002,Medium
Canada,490.8386851954,Low
Germany,1798.6213716383004,Medium
Japan,-43.89845086240007,Low
UK,625.0830348711002,Medium
